datetime64_ns,filename,datetime64_ns,lat,lon,predicted
2019-02-05 12:57:08.260842,label_2019_02_05_12_57_08_260842.png,2019-02-05 12:57:08.260842,47.598324017869665,-122.33219077499308,0.94817054
2019-02-05 12:57:08.292089,label_2019_02_05_12_57_08_292089.png,2019-02-05 12:57:08.292089,47.59832396849924,-122.33219201425322,0.9642846
2019-02-05 12:57:08.323341,label_2019_02_05_12_57_08_323341.png,2019-02-05 12:57:08.323341,47.59832391912113,-122.33219325370628,0.8926647
2019-02-05 12:57:08.361135,label_2019_02_05_12_57_08_361135.png,2019-02-05 12:57:08.361135,47.598323859406534,-122.33219475261822,0.94472677
2019-02-05 12:57:08.423632,label_2019_02_05_12_57_08_423632.png,2019-02-05 12:57:08.423632,47.59832376066164,-122.33219723124004,0.8887372
2019-02-05 12:57:08.461424,label_2019_02_05_12_57_08_461424.png,2019-02-05 12:57:08.461424,47.59832370094988,-122.33219873008092,0.618487
2019-02-05 12:57:08.492671,label_2019_02_05_12_57_08_492671.png,2019-02-05 12:57:08.492671,47.59832365157986,-122.33219996933092,0.7468615
2019-02-05 12:57:08.523920,label_2019_02_05_12_57_08_523920.png,2019-02-05 12:57:08.523920,47.598323602206605,-122.33220120866213,0.94619477
2019-02-05 12:57:08.546063,label_2019_02_05_12_57_08_546063.png,2019-02-05 12:57:08.546063,47.5983235672203,-122.33220208686271,0.930685
2019-02-05 12:57:08.577327,label_2019_02_05_12_57_08_577327.png,2019-02-05 12:57:08.577327,47.598323517823175,-122.33220332679295,0.91990167
2019-02-05 12:57:08.608578,label_2019_02_05_12_57_08_608578.png,2019-02-05 12:57:08.608578,47.59832346844669,-122.33220456620539,0.80552423
2019-02-05 12:57:08.646352,label_2019_02_05_12_57_08_646352.png,2019-02-05 12:57:08.646352,47.598323408764045,-122.33220606431524,0.971253
2019-02-05 12:57:08.677628,label_2019_02_05_12_57_08_677628.png,2019-02-05 12:57:08.677628,47.598323359347916,-122.33220730472267,0.7903893
2019-02-05 12:57:08.724501,label_2019_02_05_12_57_08_724501.png,2019-02-05 12:57:08.724501,47.59832328528844,-122.33220916370935,0.83588374
2019-02-05 12:57:08.746637,label_2019_02_05_12_57_08_746637.png,2019-02-05 12:57:08.746637,47.598323250313456,-122.33221004162564,0.33551905
2019-02-05 12:57:08.777904,label_2019_02_05_12_57_08_777904.png,2019-02-05 12:57:08.777904,47.59832320091148,-122.33221128167771,0.79157704
2019-02-05 12:57:08.809160,label_2019_02_05_12_57_08_809160.png,2019-02-05 12:57:08.809160,47.5983231515273,-122.33221252128307,0.9225702
2019-02-05 12:57:08.846932,label_2019_02_05_12_57_08_846932.png,2019-02-05 12:57:08.846932,47.59832309184749,-122.33221401932185,0.96970606
2019-02-05 12:57:08.878200,label_2019_02_05_12_57_08_878200.png,2019-02-05 12:57:08.878200,47.5983230424439,-122.33221525941454,0.94770586
2019-02-05 12:57:08.978473,label_2019_02_05_12_57_08_978473.png,2019-02-05 12:57:08.978473,47.598322884012724,-122.3322192362376,0.9637697
2019-02-05 12:57:09.025349,label_2019_02_05_12_57_09_025349.png,2019-02-05 12:57:09.025349,47.59832273263358,-122.33222139117034,0.9306245
2019-02-05 12:57:09.047495,label_2019_02_05_12_57_09_047495.png,2019-02-05 12:57:09.047495,47.59832263009856,-122.33222252791384,0.9459902
2019-02-05 12:57:09.147773,label_2019_02_05_12_57_09_147773.png,2019-02-05 12:57:09.147773,47.59832216581135,-122.3322276751844,0.96885663
2019-02-05 12:57:09.210290,label_2019_02_05_12_57_09_210290.png,2019-02-05 12:57:09.210290,47.59832187635767,-122.3322308841816,0.855046
2019-02-05 12:57:09.248054,label_2019_02_05_12_57_09_248054.png,2019-02-05 12:57:09.248054,47.59832170150991,-122.33223282261265,0.80706525
2019-02-05 12:57:09.279320,label_2019_02_05_12_57_09_279320.png,2019-02-05 12:57:09.279320,47.598321556748104,-122.33223442749889,0.80570745
2019-02-05 12:57:09.310574,label_2019_02_05_12_57_09_310574.png,2019-02-05 12:57:09.310574,47.59832141204201,-122.33223603176754,0.845592
2019-02-05 12:57:09.348327,label_2019_02_05_12_57_09_348327.png,2019-02-05 12:57:09.348327,47.5983212372464,-122.3322379696204,0.9229988
2019-02-05 12:57:09.395217,label_2019_02_05_12_57_09_395217.png,2019-02-05 12:57:09.395217,47.598321020145775,-122.33224037648327,0.84433454
2019-02-05 12:57:09.426466,label_2019_02_05_12_57_09_426466.png,2019-02-05 12:57:09.426466,47.5983208754622,-122.33224198050225,0.92039955
2019-02-05 12:57:09.448603,label_2019_02_05_12_57_09_448603.png,2019-02-05 12:57:09.448603,47.59832077296867,-122.33224311678583,0.95389175
2019-02-05 12:57:09.495496,label_2019_02_05_12_57_09_495496.png,2019-02-05 12:57:09.495496,47.59832055585382,-122.33224552380639,0.96391886
2019-02-05 12:57:09.548887,label_2019_02_05_12_57_09_548887.png,2019-02-05 12:57:09.548887,47.59832030865301,-122.33224826437177,0.9664247
2019-02-05 12:57:09.580149,label_2019_02_05_12_57_09_580149.png,2019-02-05 12:57:09.580149,47.59832016391017,-122.33224986904776,0.93527776
2019-02-05 12:57:09.627023,label_2019_02_05_12_57_09_627023.png,2019-02-05 12:57:09.627023,47.59831994688303,-122.33225227509593,0.9710202
2019-02-05 12:57:09.649166,label_2019_02_05_12_57_09_649166.png,2019-02-05 12:57:09.649166,47.59831984436105,-122.3322534116949,0.8121737
